r,f(r),b(r),bp(r),H(r),Hp(r),w(r),col9,col10,col11
1.0033,0.00020129,0.00034458,0.113,0.5805,1.2106,0.6718,4.711,-0.3163,4.3735
1.0065,0.00043159,0.00073552,0.1271,0.5844,1.2032,0.6638,4.6273,-0.3011,4.2449
1.0098,0.00069053,0.0011714,0.1407,0.5883,1.1957,0.656,4.5449,-0.2864,4.1202
1.013,0.00097772,0.0016511,0.1539,0.5922,1.188,0.6483,4.4637,-0.272,3.9994
1.0163,0.0012919,0.0021715,0.1667,0.596,1.1803,0.6407,4.384,-0.2581,3.8827
1.0195,0.0016334,0.0027329,0.1791,0.5999,1.1725,0.6333,4.3056,-0.2446,3.7698
1.0238,0.0021299,0.0035418,0.1951,0.6049,1.162,0.6237,4.203,-0.2272,3.6249
1.0282,0.0026735,0.0044184,0.2105,0.6099,1.1514,0.6142,4.1024,-0.2104,3.4862
1.0332,0.0033698,0.0055292,0.2277,0.6157,1.1388,0.6035,3.9872,-0.1916,3.3311
1.0383,0.0041284,0.0067256,0.2442,0.6214,1.1262,0.593,3.8747,-0.1736,3.1836
1.0441,0.0050803,0.0082086,0.2624,0.628,1.1117,0.5812,3.7482,-0.1538,3.0224
1.05,0.0061116,0.0097951,0.2796,0.6345,1.0971,0.5698,3.6252,-0.135,2.8703
1.0562,0.0072933,0.0116,0.297,0.6412,1.0816,0.5581,3.4982,-0.1162,2.7178
1.0624,0.0085606,0.0135,0.3135,0.6479,1.0661,0.5467,3.375,-0.0985,2.5743
1.0686,0.0099068,0.0155,0.329,0.6545,1.0507,0.5357,3.2559,-0.0819,2.4396
1.0748,0.0113,0.0176,0.3437,0.6609,1.0353,0.5251,3.1403,-0.0662,2.3125
1.0811,0.0129,0.0198,0.3578,0.6674,1.0199,0.5147,3.0272,-0.0514,2.1915
1.0874,0.0145,0.022,0.3712,0.6737,1.0046,0.5046,2.9176,-0.0375,2.0774
1.0937,0.0162,0.0245,0.3841,0.6801,0.9891,0.4946,2.8093,-0.0243,1.9675
1.1001,0.0179,0.0269,0.3963,0.6863,0.9737,0.4849,2.7045,-0.012,1.8637
1.1066,0.0198,0.0296,0.4081,0.6926,0.958,0.4753,2.6004,-0.0001646,1.7632
1.1132,0.0218,0.0323,0.4193,0.6988,0.9425,0.4659,2.4997,0.0108,1.6683
1.1199,0.0239,0.0351,0.4302,0.7051,0.9266,0.4566,2.3996,0.0212,1.576
1.1266,0.0261,0.038,0.4405,0.7113,0.9109,0.4475,2.3029,0.0308,1.4887
1.1335,0.0285,0.0411,0.4505,0.7175,0.8949,0.4384,2.2066,0.0399,1.4037
1.1404,0.0309,0.0443,0.4599,0.7237,0.879,0.4296,2.1136,0.0483,1.3233
1.1476,0.0335,0.0476,0.4691,0.7299,0.8627,0.4208,2.0211,0.0561,1.2449
1.1547,0.0361,0.051,0.4777,0.736,0.8467,0.4123,1.9319,0.0632,1.1707
1.1621,0.0389,0.0545,0.4861,0.7422,0.8302,0.4037,1.8432,0.0698,1.0981
1.1695,0.0418,0.0582,0.494,0.7483,0.814,0.3953,1.7578,0.0758,1.0295
1.1772,0.0449,0.062,0.5016,0.7544,0.7973,0.387,1.6729,0.0812,0.9623
1.1848,0.0481,0.0658,0.5087,0.7605,0.7809,0.3788,1.5914,0.086,0.8988
1.1928,0.0514,0.0699,0.5156,0.7666,0.7641,0.3706,1.5104,0.0903,0.8365
1.2007,0.0549,0.074,0.522,0.7726,0.7475,0.3627,1.4328,0.094,0.7777
1.2089,0.0585,0.0783,0.5282,0.7787,0.7306,0.3547,1.3558,0.0972,0.7199
1.2172,0.0622,0.0827,0.5339,0.7846,0.7139,0.347,1.2822,0.0998,0.6654
1.2257,0.0662,0.0873,0.5393,0.7907,0.6968,0.3392,1.2092,0.102,0.6118
1.2343,0.0702,0.0919,0.5443,0.7965,0.6799,0.3316,1.1397,0.1036,0.5612
1.2431,0.0744,0.0968,0.5491,0.8025,0.6627,0.324,1.0709,0.1048,0.5115
1.252,0.0788,0.1017,0.5534,0.8083,0.6458,0.3167,1.0056,0.1055,0.4645
1.2613,0.0833,0.1068,0.5575,0.8142,0.6285,0.3092,0.941,0.1058,0.4184
1.2705,0.088,0.112,0.5612,0.8199,0.6115,0.302,0.8799,0.1056,0.3749
1.2801,0.0929,0.1174,0.5646,0.8257,0.5942,0.2947,0.8196,0.1051,0.3321
1.2898,0.0979,0.1229,0.5676,0.8314,0.5772,0.2877,0.7628,0.1042,0.2917
1.2998,0.1032,0.1286,0.5703,0.8371,0.5598,0.2806,0.7069,0.1028,0.2521
1.3098,0.1085,0.1343,0.5726,0.8426,0.5429,0.2737,0.6543,0.1012,0.2147
1.3203,0.1141,0.1403,0.5747,0.8482,0.5255,0.2668,0.6028,0.0992,0.178
1.3307,0.1198,0.1463,0.5764,0.8536,0.5086,0.2601,0.5545,0.097,0.1435
1.3416,0.1259,0.1526,0.5777,0.8591,0.4914,0.2533,0.5074,0.0944,0.1096
1.3526,0.1319,0.1589,0.5788,0.8643,0.4746,0.2468,0.4634,0.0916,0.0777
1.364,0.1383,0.1655,0.5795,0.8696,0.4575,0.2402,0.4206,0.0885,0.0465
1.3754,0.1448,0.1721,0.5798,0.8748,0.4409,0.2338,0.3808,0.0854,0.0172
