r,f(r),b(r),bp(r),H(r),Hp(r),w(r)
1.0,0.0,0.0,0.4416,0.7049,0.9632,0.33
1.0,5.5041e-09,8.2813e-09,0.4416,0.7049,0.9632,0.33
1.0,1.1008e-08,1.6563e-08,0.4416,0.7049,0.9632,0.33
1.0,1.6512e-08,2.4844e-08,0.4416,0.7049,0.9632,0.33
1.0,2.2017e-08,3.3126e-08,0.4416,0.7049,0.9632,0.33
1.0,2.7521e-08,4.1408e-08,0.4416,0.7049,0.9632,0.33
1.0,3.3026e-08,4.969e-08,0.4416,0.7049,0.9632,0.33
1.0,4.4812e-08,6.7424e-08,0.4416,0.7049,0.9632,0.33
1.0,5.6599e-08,8.5158e-08,0.4416,0.7049,0.9632,0.33
1.0,8.2031e-08,1.2342e-07,0.4416,0.7049,0.9632,0.33
1.0,1.0746e-07,1.6169e-07,0.4416,0.7049,0.9632,0.33
1.0,1.5357e-07,2.3106e-07,0.4416,0.7049,0.9632,0.33
1.0,1.9968e-07,3.0043e-07,0.4416,0.7049,0.9632,0.33
1.0,2.7408e-07,4.1238e-07,0.4416,0.7049,0.9632,0.33
1.0,3.4849e-07,5.2433e-07,0.4416,0.7049,0.9632,0.33
1.0,4.6727e-07,7.0304e-07,0.4416,0.7049,0.9632,0.33
1.0,5.8604e-07,8.8175e-07,0.4416,0.7049,0.9632,0.33
1.0,7.7231e-07,1.162e-06,0.4416,0.7049,0.9632,0.33
1.0,9.5858e-07,1.4423e-06,0.4416,0.7049,0.9632,0.33
1.0,1.2431e-06,1.8704e-06,0.4416,0.7049,0.9632,0.33
1.0,1.5277e-06,2.2986e-06,0.4416,0.7049,0.9632,0.33
1.0,1.9534e-06,2.9391e-06,0.4416,0.7049,0.9632,0.33
1.0,2.3791e-06,3.5796e-06,0.4416,0.7049,0.9632,0.33
1.0,3.0035e-06,4.519e-06,0.4416,0.7049,0.9632,0.33
1.0,3.6279e-06,5.4584e-06,0.4416,0.7049,0.9632,0.33
1.0,4.5275e-06,6.8119e-06,0.4416,0.7049,0.9631,0.33
1.0,5.4272e-06,8.1654e-06,0.4416,0.7049,0.9631,0.33
1.0,6.7019e-06,1.0083e-05,0.4416,0.7049,0.9631,0.33
1.0,7.9766e-06,1.2001e-05,0.4416,0.7049,0.9631,0.33
1.0,9.7557e-06,1.4678e-05,0.4416,0.7049,0.9631,0.33
1.0,1.1535e-05,1.7354e-05,0.4416,0.7049,0.9631,0.33
1.0,1.3984e-05,2.1039e-05,0.4417,0.7049,0.9631,0.33
1.0001,1.6434e-05,2.4724e-05,0.4417,0.7049,0.963,0.3299
1.0001,1.9764e-05,2.9733e-05,0.4417,0.7049,0.963,0.3299
1.0001,2.3094e-05,3.4743e-05,0.4417,0.7049,0.963,0.3299
1.0001,2.757e-05,4.1476e-05,0.4417,0.705,0.9629,0.3299
1.0001,3.2047e-05,4.821e-05,0.4417,0.705,0.9629,0.3299
1.0001,3.7999e-05,5.7162e-05,0.4417,0.705,0.9628,0.3299
1.0001,4.3951e-05,6.6114e-05,0.4417,0.705,0.9628,0.3299
1.0002,5.1784e-05,7.7893e-05,0.4417,0.705,0.9627,0.3298
1.0002,5.9618e-05,8.9674e-05,0.4418,0.7051,0.9626,0.3298
1.0002,6.9832e-05,0.00010503,0.4418,0.7051,0.9625,0.3298
1.0003,8.0047e-05,0.00012039,0.4418,0.7051,0.9624,0.3297
1.0003,9.3251e-05,0.00014024,0.4418,0.7052,0.9623,0.3297
1.0004,0.00010646,0.00016009,0.4419,0.7052,0.9621,0.3296
1.0004,0.00012339,0.00018554,0.4419,0.7053,0.962,0.3296
1.0005,0.00014033,0.00021099,0.4419,0.7053,0.9618,0.3295
1.0006,0.00016188,0.00024337,0.442,0.7054,0.9616,0.3295
1.0006,0.00018345,0.00027575,0.442,0.7055,0.9614,0.3294
1.0007,0.00021069,0.00031667,0.4421,0.7056,0.9611,0.3293
1.0008,0.00023795,0.00035759,0.4422,0.7056,0.9609,0.3292
1.0009,0.00027218,0.00040895,0.4422,0.7058,0.9605,0.3291
1.001,0.00030642,0.00046032,0.4423,0.7059,0.9602,0.329
1.0012,0.00034915,0.0005244,0.4424,0.706,0.9598,0.3288
1.0013,0.00039191,0.0005885,0.4425,0.7062,0.9594,0.3287
1.0015,0.00044496,0.00066799,0.4426,0.7063,0.9588,0.3285
1.0017,0.00049806,0.0007475,0.4428,0.7065,0.9583,0.3284
1.0019,0.00056359,0.00084558,0.4429,0.7067,0.9577,0.3281
1.0021,0.00062919,0.00094369,0.4431,0.7069,0.957,0.3279
1.0024,0.00070975,0.0010641,0.4432,0.7072,0.9563,0.3277
1.0027,0.00079042,0.0011846,0.4434,0.7074,0.9555,0.3274
1.003,0.00088903,0.0013317,0.4436,0.7078,0.9545,0.3271
1.0033,0.00098779,0.0014789,0.4439,0.7081,0.9536,0.3268
1.0037,0.001108,0.0016579,0.4441,0.7085,0.9524,0.3264
1.0041,0.0012284,0.0018371,0.4444,0.7088,0.9513,0.326
1.0046,0.0013745,0.002054,0.4447,0.7093,0.9499,0.3255
1.0051,0.0015208,0.0022711,0.445,0.7098,0.9485,0.3251
1.0057,0.0016976,0.0025329,0.4454,0.7103,0.9468,0.3245
1.0063,0.0018748,0.002795,0.4458,0.7109,0.9451,0.324
1.007,0.0020882,0.0031099,0.4463,0.7115,0.9431,0.3233
1.0077,0.0023022,0.0034252,0.4467,0.7122,0.9412,0.3226
1.0086,0.0025591,0.0038028,0.4473,0.713,0.9388,0.3218
1.0094,0.0028169,0.0041808,0.4478,0.7138,0.9364,0.3211
1.0104,0.0031254,0.0046321,0.4484,0.7147,0.9336,0.3201
1.0114,0.0034352,0.005084,0.4491,0.7157,0.9307,0.3192
1.0126,0.0038051,0.0056219,0.4498,0.7168,0.9274,0.3181
1.0138,0.0041767,0.0061607,0.4506,0.7179,0.9241,0.317
1.0152,0.0046193,0.0068002,0.4514,0.7192,0.9201,0.3157
1.0166,0.0050644,0.0074408,0.4523,0.7205,0.9162,0.3144
1.0183,0.0055934,0.0081992,0.4533,0.722,0.9116,0.3129
1.02,0.0061258,0.0089592,0.4543,0.7236,0.9071,0.3114
1.022,0.0067574,0.0098565,0.4554,0.7253,0.9017,0.3097
1.0239,0.0073936,0.0108,0.4565,0.7271,0.8964,0.308
1.0263,0.008147,0.0118,0.4579,0.7292,0.8901,0.3059
1.0286,0.0089067,0.0129,0.4591,0.7312,0.8839,0.3039
1.0313,0.009805,0.0141,0.4606,0.7336,0.8768,0.3016
1.034,0.0107,0.0154,0.4621,0.736,0.8696,0.2994
1.0372,0.0118,0.0168,0.4637,0.7388,0.8613,0.2967
1.0404,0.0129,0.0183,0.4653,0.7415,0.8531,0.2941
1.0441,0.0141,0.02,0.4672,0.7446,0.8437,0.2911
1.0478,0.0154,0.0218,0.4689,0.7477,0.8343,0.2882
1.0521,0.017,0.0238,0.471,0.7513,0.8235,0.2848
1.0564,0.0185,0.0258,0.4729,0.7548,0.8128,0.2815
1.0614,0.0203,0.0282,0.4751,0.7588,0.8006,0.2778
1.0664,0.0221,0.0306,0.4772,0.7628,0.7886,0.2741
1.0721,0.0243,0.0333,0.4795,0.7673,0.7748,0.2699
1.0779,0.0265,0.0361,0.4818,0.7718,0.7613,0.2658
1.0846,0.0291,0.0394,0.4842,0.7768,0.746,0.2612
1.0913,0.0317,0.0426,0.4866,0.7817,0.7309,0.2567
1.099,0.0347,0.0464,0.4891,0.7873,0.7138,0.2516
1.1067,0.0378,0.0501,0.4915,0.7927,0.6971,0.2467
1.1155,0.0415,0.0545,0.4941,0.7988,0.6783,0.2412
1.1244,0.0452,0.0589,0.4965,0.8047,0.6599,0.2359
1.1346,0.0495,0.0639,0.4991,0.8114,0.6394,0.23
1.1447,0.0539,0.069,0.5014,0.8177,0.6194,0.2244
1.1564,0.059,0.0749,0.5038,0.8248,0.5971,0.2181
1.168,0.0643,0.0807,0.506,0.8316,0.5755,0.212
1.1813,0.0703,0.0875,0.5082,0.8391,0.5517,0.2054
1.1946,0.0765,0.0943,0.5101,0.8463,0.5287,0.1991
1.2097,0.0836,0.102,0.5119,0.8541,0.5034,0.1921
1.2249,0.0909,0.1098,0.5133,0.8616,0.4792,0.1855
1.2419,0.0992,0.1185,0.5146,0.8695,0.4532,0.1784
1.2589,0.1076,0.1273,0.5155,0.877,0.4283,0.1717
1.2774,0.1168,0.1368,0.5161,0.8847,0.4027,0.1648
1.2958,0.1261,0.1463,0.5163,0.8919,0.3785,0.1582
1.3157,0.1362,0.1566,0.5161,0.8991,0.3537,0.1515
1.3356,0.1465,0.1669,0.5155,0.906,0.3303,0.1451
1.3572,0.1577,0.178,0.5144,0.9128,0.3065,0.1385
1.3787,0.1689,0.189,0.5129,0.9192,0.2843,0.1323
1.4022,0.1812,0.201,0.5109,0.9256,0.2618,0.126
1.4256,0.1935,0.213,0.5084,0.9315,0.2409,0.12
1.4511,0.2069,0.2259,0.5053,0.9373,0.2199,0.1139
1.4767,0.2202,0.2388,0.5018,0.9427,0.2006,0.1081
1.5046,0.2348,0.2527,0.4974,0.948,0.1813,0.1022
1.5325,0.2492,0.2665,0.4927,0.9529,0.1639,0.0966
1.5631,0.265,0.2815,0.487,0.9576,0.1466,0.091
1.5937,0.2805,0.2963,0.4809,0.9618,0.1312,0.0857
1.6272,0.2974,0.3123,0.4737,0.966,0.1161,0.0803
1.6607,0.314,0.3281,0.4662,0.9696,0.1027,0.0753
1.695,0.3307,0.3439,0.4581,0.973,0.0907,0.0706
1.7293,0.3471,0.3595,0.4497,0.9759,0.0801,0.0662
1.7639,0.3633,0.3749,0.441,0.9785,0.0707,0.0621
1.7985,0.3792,0.39,0.432,0.9808,0.0625,0.0583
1.8342,0.3952,0.4053,0.4225,0.9829,0.055,0.0546
1.8699,0.4108,0.4202,0.4129,0.9847,0.0485,0.0512
1.9072,0.4267,0.4354,0.4028,0.9864,0.0425,0.0479
1.9446,0.4423,0.4503,0.3925,0.9879,0.0374,0.0449
1.9843,0.4583,0.4656,0.3816,0.9893,0.0326,0.0419
2.0239,0.4738,0.4805,0.3707,0.9905,0.0285,0.0391
2.0664,0.4899,0.4961,0.3591,0.9916,0.0247,0.0364
2.109,0.5054,0.5111,0.3476,0.9926,0.0215,0.0339
2.1551,0.5217,0.5269,0.3353,0.9935,0.0185,0.0314
2.2013,0.5374,0.5421,0.3232,0.9943,0.0159,0.0291
2.2519,0.5539,0.5581,0.3102,0.9951,0.0136,0.0269
2.3026,0.5697,0.5735,0.2976,0.9957,0.0116,0.0248
2.3588,0.5865,0.5898,0.284,0.9963,0.0097811,0.0227
2.415,0.6024,0.6054,0.2709,0.9968,0.0082682,0.0208
2.4781,0.6195,0.6221,0.2568,0.9973,0.0068723,0.019
2.5412,0.6356,0.6378,0.2434,0.9977,0.0057348,0.0173
2.613,0.6528,0.6548,0.2289,0.9981,0.0046891,0.0156
2.6849,0.669,0.6708,0.2152,0.9984,0.0038527,0.0141
2.768,0.6866,0.688,0.2004,0.9987,0.0030872,0.0125
2.8512,0.7029,0.7041,0.1867,0.9989,0.0024887,0.0112
2.9462,0.7201,0.7212,0.1723,0.9991,0.0019593,0.0098864
3.0411,0.736,0.7369,0.1592,0.9993,0.0015535,0.0087537
3.1478,0.7524,0.7531,0.1457,0.9994,0.0012066,0.0076647
3.2545,0.7674,0.768,0.1336,0.9995,0.00094471,0.0067372
3.3745,0.7828,0.7833,0.1213,0.9996,0.00072372,0.0058525
3.4946,0.7968,0.7972,0.1104,0.9997,0.00055936,0.0051065
3.6187,0.8099,0.8103,0.1004,0.9998,0.00043237,0.0044551
3.7428,0.8219,0.8222,0.0915,0.9998,0.00033698,0.0039032
3.8701,0.8331,0.8333,0.0833,0.9998,0.000263,0.0034221
3.9975,0.8432,0.8434,0.076,0.9999,0.00020682,0.0030122
4.1319,0.853,0.8532,0.0692,0.9999,0.00016171,0.0026436
4.2664,0.8619,0.8621,0.0632,0.9999,0.00012737,0.0023293
4.4107,0.8707,0.8708,0.0574,0.9999,9.9313e-05,0.0020417
4.5551,0.8786,0.8787,0.0523,0.9999,7.8004e-05,0.001797
4.7119,0.8864,0.8865,0.0474,1.0,6.0472e-05,0.0015712
4.8687,0.8935,0.8936,0.0431,1.0,4.7228e-05,0.0013797
5.0406,0.9006,0.9006,0.039,1.0,3.6298e-05,0.0012019
5.2126,0.907,0.907,0.0353,1.0,2.811e-05,0.0010518
5.4027,0.9133,0.9134,0.0318,1.0,2.1358e-05,0.00091192
